attendance_id,employee_id,date,status
1,1,01-01-2023,Present
2,2,02-01-2023,Present
3,3,03-01-2023,Present
4,4,04-01-2023,Present
5,5,05-01-2023,Present
6,6,06-01-2023,Absent
7,7,07-01-2023,Absent
8,8,08-01-2023,Present
9,9,09-01-2023,Present
10,10,10-01-2023,Absent
11,11,11-01-2023,Present
12,12,12-01-2023,Present
13,13,13-01-2023,Leave
14,14,14-01-2023,Present
15,15,15-01-2023,Absent
16,16,16-01-2023,Present
17,17,17-01-2023,Present
18,18,18-01-2023,Present
19,19,19-01-2023,Leave
20,20,20-01-2023,Present
21,21,21-01-2023,Present
22,22,22-01-2023,Leave
23,23,23-01-2023,Present
24,24,24-01-2023,Present
25,25,25-01-2023,Present
26,26,26-01-2023,Present
27,27,27-01-2023,Leave
28,28,28-01-2023,Leave
29,29,29-01-2023,Present
30,30,30-01-2023,Present
31,31,31-01-2023,Present
32,32,01-02-2023,Present
33,33,02-02-2023,Present
34,34,03-02-2023,Absent
35,35,04-02-2023,Present
36,36,05-02-2023,Present
37,37,06-02-2023,Present
38,38,07-02-2023,Present
39,39,08-02-2023,Absent
40,40,09-02-2023,Leave
41,41,10-02-2023,Present
42,42,11-02-2023,Present
43,43,12-02-2023,Present
44,44,13-02-2023,Present
45,45,14-02-2023,Present
46,46,15-02-2023,Leave
47,47,16-02-2023,Present
48,48,17-02-2023,Present
49,49,18-02-2023,Absent
50,50,19-02-2023,Present
51,51,20-02-2023,Present
52,52,21-02-2023,Present
53,53,22-02-2023,Present
54,54,23-02-2023,Present
55,55,24-02-2023,Present
56,56,25-02-2023,Absent
57,57,26-02-2023,Present
58,58,27-02-2023,Absent
59,59,28-02-2023,Present
60,60,01-03-2023,Leave
61,61,02-03-2023,Present
62,62,03-03-2023,Present
63,63,04-03-2023,Present
64,64,05-03-2023,Present
65,65,06-03-2023,Present
66,66,07-03-2023,Present
67,67,08-03-2023,Present
68,68,09-03-2023,Absent
69,69,10-03-2023,Present
70,70,11-03-2023,Leave
71,71,12-03-2023,Absent
72,72,13-03-2023,Present
73,73,14-03-2023,Present
74,74,15-03-2023,Absent
75,75,16-03-2023,Leave
76,76,17-03-2023,Leave
77,77,18-03-2023,Present
78,78,19-03-2023,Present
79,79,20-03-2023,Present
80,80,21-03-2023,Absent
81,81,22-03-2023,Absent
82,82,23-03-2023,Present
83,83,24-03-2023,Present
84,84,25-03-2023,Present
85,85,26-03-2023,Present
86,86,27-03-2023,Present
87,87,28-03-2023,Present
88,88,29-03-2023,Absent
89,89,30-03-2023,Leave
90,90,31-03-2023,Absent
91,91,01-04-2023,Leave
92,92,02-04-2023,Present
93,93,03-04-2023,Present
94,94,04-04-2023,Present
95,95,05-04-2023,Present
96,96,06-04-2023,Absent
97,97,07-04-2023,Leave
98,98,08-04-2023,Present
99,99,09-04-2023,Present
100,100,10-04-2023,Leave
