review_id,employee_id,review_date,reviewer,score,comments
1,1,01-01-2024,Manager,2,Bad Performance
2,2,01-01-2024,Manager,3,Satisfactory performance
3,3,01-01-2024,Manager,4,Good performance
4,4,01-01-2024,Manager,5,Outstanding performance
5,5,01-01-2024,Manager,1,Unsatisfactory performance
6,6,01-01-2024,Manager,2,Needs Improvement
7,7,01-01-2024,Manager,3,Meets Expectations
8,8,01-01-2024,Manager,4,Exceeds Expectations
9,9,01-01-2024,Manager,5,Excellent performance
10,10,01-01-2024,Manager,1,Very bad performance
11,11,01-01-2024,Manager,2,Bad Performance
12,12,01-01-2024,Manager,3,Satisfactory performance
13,13,01-01-2024,Manager,5,Outstanding performance
14,14,01-01-2024,Manager,2,Needs Improvement
15,15,01-01-2024,Manager,4,Exceeds Expectations
16,16,01-01-2024,Manager,1,Very bad performance
17,17,01-01-2024,Manager,3,Satisfactory performance
18,18,01-01-2024,Manager,5,Outstanding performance
19,19,01-01-2024,Manager,2,Needs Improvement
20,20,01-01-2024,Manager,4,Exceeds Expectations
21,21,01-01-2024,Manager,1,Very bad performance
22,22,01-01-2024,Manager,3,Satisfactory performance
23,23,01-01-2024,Manager,5,Outstanding performance
24,24,01-01-2024,Manager,2,Needs Improvement
25,25,01-01-2024,Manager,4,Exceeds Expectations
26,26,01-01-2024,Manager,1,Very bad performance
27,27,01-01-2024,Manager,3,Satisfactory performance
28,28,01-01-2024,Manager,4,Good performance
29,29,01-01-2024,Manager,5,Outstanding performance
30,30,01-01-2024,Manager,1,Unsatisfactory performance
31,31,01-01-2024,Manager,2,Needs Improvement
32,32,01-01-2024,Manager,3,Meets Expectations
33,33,01-01-2024,Manager,4,Exceeds Expectations
34,34,01-01-2024,Manager,5,Excellent performance
35,35,01-01-2024,Manager,1,Very bad performance
36,36,01-01-2024,Manager,2,Bad Performance
37,37,01-01-2024,Manager,3,Satisfactory performance
38,38,01-01-2024,Manager,4,Good performance
39,39,01-01-2024,Manager,1,Unsatisfactory performance
40,40,01-01-2024,Manager,3,Meets Expectations
41,41,01-01-2024,Manager,5,Excellent performance
42,42,01-01-2024,Manager,2,Bad Performance
43,43,01-01-2024,Manager,4,Good performance
44,44,01-01-2024,Manager,1,Unsatisfactory performance
45,45,01-01-2024,Manager,3,Meets Expectations
46,46,01-01-2024,Manager,5,Excellent performance
47,47,01-01-2024,Manager,2,Bad Performance
48,48,01-01-2024,Manager,4,Good performance
49,49,01-01-2024,Manager,1,Unsatisfactory performance
50,50,01-01-2024,Manager,3,Meets Expectations
51,51,01-01-2024,Manager,5,Excellent performance
52,52,01-01-2024,Manager,2,Bad Performance
53,53,01-01-2024,Manager,4,Good performance
54,54,01-01-2024,Manager,5,Outstanding performance
55,55,01-01-2024,Manager,1,Unsatisfactory performance
56,56,01-01-2024,Manager,2,Needs Improvement
57,57,01-01-2024,Manager,3,Meets Expectations
58,58,01-01-2024,Manager,4,Exceeds Expectations
59,59,01-01-2024,Manager,5,Excellent performance
60,60,01-01-2024,Manager,1,Very bad performance
61,61,01-01-2024,Manager,2,Bad Performance
62,62,01-01-2024,Manager,3,Satisfactory performance
63,63,01-01-2024,Manager,4,Good performance
64,64,01-01-2024,Manager,5,Outstanding performance
65,65,01-01-2024,Manager,2,Needs Improvement
66,66,01-01-2024,Manager,4,Exceeds Expectations
67,67,01-01-2024,Manager,1,Very bad performance
68,68,01-01-2024,Manager,3,Satisfactory performance
69,69,01-01-2024,Manager,5,Outstanding performance
70,70,01-01-2024,Manager,2,Needs Improvement
71,71,01-01-2024,Manager,4,Exceeds Expectations
72,72,01-01-2024,Manager,1,Very bad performance
73,73,01-01-2024,Manager,3,Satisfactory performance
74,74,01-01-2024,Manager,5,Outstanding performance
75,75,01-01-2024,Manager,2,Needs Improvement
76,76,01-01-2024,Manager,4,Exceeds Expectations
77,77,01-01-2024,Manager,1,Very bad performance
78,78,01-01-2024,Manager,3,Satisfactory performance
79,79,01-01-2024,Manager,5,Outstanding performance
80,80,01-01-2024,Manager,1,Unsatisfactory performance
81,81,01-01-2024,Manager,2,Needs Improvement
82,82,01-01-2024,Manager,3,Meets Expectations
83,83,01-01-2024,Manager,4,Exceeds Expectations
84,84,01-01-2024,Manager,5,Excellent performance
85,85,01-01-2024,Manager,1,Very bad performance
86,86,01-01-2024,Manager,2,Bad Performance
87,87,01-01-2024,Manager,3,Satisfactory performance
88,88,01-01-2024,Manager,4,Good performance
89,89,01-01-2024,Manager,5,Outstanding performance
90,90,01-01-2024,Manager,1,Unsatisfactory performance
91,91,01-01-2024,Manager,3,Meets Expectations
92,92,01-01-2024,Manager,5,Excellent performance
93,93,01-01-2024,Manager,2,Bad Performance
94,94,01-01-2024,Manager,4,Good performance
95,95,01-01-2024,Manager,1,Unsatisfactory performance
96,96,01-01-2024,Manager,3,Meets Expectations
97,97,01-01-2024,Manager,5,Excellent performance
98,98,01-01-2024,Manager,2,Bad Performance
99,99,01-01-2024,Manager,4,Good performance
100,100,01-01-2024,Manager,1,Unsatisfactory performance
101,101,01-01-2024,Manager,3,Meets Expectations
102,102,01-01-2024,Manager,5,Excellent performance
103,103,01-01-2024,Manager,2,Bad Performance
104,104,01-01-2024,Manager,4,Good performance
105,105,01-01-2024,Manager,1,Unsatisfactory performance
106,106,01-01-2024,Manager,2,Needs Improvement
107,107,01-01-2024,Manager,3,Meets Expectations
